time,core_level,up_level,downcomer_level,pzr_level,sgin_level,sgbr_level,react_pow,pzr_heater,rcpin_vel,rcpout_vel,core_temp_1,core_temp_2,core_temp_3,core_temp_4,core_temp_5,core_temp_6,core_temp_7,core_temp_8,core_temp_9,core_temp_10,core_temp_11,core_temp_12,hot_leg_pres,sg_pres,return_pipe_flow,return_valve_flow,br_mfw_flow1,in_mfw_flow1,in_afw_flow1,br_lp_flow,in_lp_flow,heat_ex_flow_f,heat_ex_v_flow_f,heat_ex_f_flow_f,heat_ex_flow_i,heat_ex_v_flow_i,heat_ex_f_flow_i,afw_intact_flow,sg_junction_flow,sg_jun_172_flow,sg_jun_176_flow,sg_bottom_flow,sg_bottom_flow_2,cr_ex_temp_g,cr_ex_temp_f,cr_en_temp_g,cr_en_temp_f,btm_pool_temp_f,top_pool_temp_f,mid_pool_temp_f,top_pool_temp_g,diverter_temp_g,diverter_temp_f,return_temp_g,return_temp_f,hx_temp_g,hx_temp_f,sg_exit_temp_g,sg_exit_temp_f,sg_entr_temp_g,sg_entr_temp_f,void_pool_05,void_pool_04,void_pool_03,void_pool_06,void_pool_02,void_pool_01,void_pool_07,void_pool_08,void_pool_09,void_pool_10,void_pool_11,void_pool_12,top_pool_pres,valve_position,top_hx_pres,bot_hx_pres,val_pres,div_pressure,void_hx_04,void_hx_01,void_rp_04,void_rp_01,void_rp_08
0.0000e+00,4.0766e+00,3.8194e+00,5.5374e+00,8.8550e+00,1.2200e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8916e+02,5.9170e+02,6.0232e+02,6.0584e+02,6.0974e+02,6.1314e+02,6.1625e+02,6.1941e+02,6.1858e+02,6.2083e+02,6.1146e+02,6.1163e+02,1.5500e+07,6.7085e+06,0.0000e+00,0.0000e+00,4.5578e+02,1.3244e+03,0.0000e+00,4.3562e+03,1.2436e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.3276e+03,0.0000e+00,0.0000e+00,5.3276e+03,5.3276e+03,6.1839e+02,6.0338e+02,6.1918e+02,5.7080e+02,3.0537e+02,3.0537e+02,3.0537e+02,3.7313e+02,5.5603e+02,5.5603e+02,5.5603e+02,5.5603e+02,5.5603e+02,5.5603e+02,5.5610e+02,5.5615e+02,5.5662e+02,5.5452e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.0135e+05,0.0000e+00,6.7000e+06,6.7000e+06,0.0000e+00,6.7000e+06,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00
5.0338e+00,4.0766e+00,3.8194e+00,5.5374e+00,8.8546e+00,1.2202e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8916e+02,5.9170e+02,6.0232e+02,6.0583e+02,6.0974e+02,6.1314e+02,6.1625e+02,6.1941e+02,6.1858e+02,6.2083e+02,6.1146e+02,6.1163e+02,1.5499e+07,6.7065e+06,1.3616e-04,0.0000e+00,4.5578e+02,1.3241e+03,0.0000e+00,4.3562e+03,1.2436e+04,3.2789e+00,0.0000e+00,0.0000e+00,1.9037e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.3254e+03,0.0000e+00,0.0000e+00,5.3254e+03,5.3269e+03,6.1838e+02,6.0338e+02,6.1917e+02,5.7080e+02,3.0540e+02,3.0541e+02,3.0540e+02,3.8081e+02,5.5598e+02,5.5601e+02,5.5656e+02,5.5604e+02,5.5606e+02,4.7867e+02,5.5608e+02,5.5613e+02,5.5660e+02,5.5451e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.9654e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3245e+05,0.0000e+00,6.6945e+06,6.7238e+06,0.0000e+00,6.6977e+06,9.9999e-01,5.7189e-01,1.0000e+00,1.0000e+00,1.0000e+00
1.0017e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8538e+00,1.2201e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8915e+02,5.9169e+02,6.0231e+02,6.0583e+02,6.0973e+02,6.1313e+02,6.1625e+02,6.1940e+02,6.1857e+02,6.2082e+02,6.1145e+02,6.1162e+02,1.5496e+07,6.7060e+06,1.6792e-04,0.0000e+00,4.5578e+02,1.3236e+03,0.0000e+00,4.3562e+03,1.2436e+04,3.2935e+00,0.0000e+00,0.0000e+00,9.2797e-01,0.0000e+00,0.0000e+00,0.0000e+00,5.3298e+03,0.0000e+00,0.0000e+00,5.3287e+03,5.3274e+03,6.1837e+02,6.0337e+02,6.1916e+02,5.7079e+02,3.0542e+02,3.0544e+02,3.0542e+02,3.8079e+02,5.5598e+02,5.5600e+02,5.5658e+02,5.5604e+02,5.5606e+02,4.3699e+02,5.5607e+02,5.5612e+02,5.5660e+02,5.5450e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.9307e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3237e+05,0.0000e+00,6.6940e+06,6.7252e+06,0.0000e+00,6.6971e+06,1.0000e+00,6.4326e-01,1.0000e+00,1.0000e+00,1.0000e+00
1.5001e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8534e+00,1.2199e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8914e+02,5.9168e+02,6.0231e+02,6.0582e+02,6.0972e+02,6.1313e+02,6.1624e+02,6.1939e+02,6.1857e+02,6.2081e+02,6.1145e+02,6.1162e+02,1.5494e+07,6.7066e+06,2.3649e-04,0.0000e+00,4.5577e+02,1.3230e+03,0.0000e+00,4.3562e+03,1.2437e+04,2.5374e+00,0.0000e+00,0.0000e+00,5.0666e-01,0.0000e+00,0.0000e+00,0.0000e+00,5.3295e+03,0.0000e+00,0.0000e+00,5.3281e+03,5.3268e+03,6.1836e+02,6.0336e+02,6.1915e+02,5.7079e+02,3.0543e+02,3.0548e+02,3.0543e+02,3.8077e+02,5.5599e+02,5.5601e+02,5.5662e+02,5.5603e+02,5.5608e+02,4.0748e+02,5.5608e+02,5.5613e+02,5.5660e+02,5.5450e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.8960e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3229e+05,0.0000e+00,6.6949e+06,6.7278e+06,0.0000e+00,6.6978e+06,1.0000e+00,8.0242e-01,1.0000e+00,1.0000e+00,1.0000e+00
2.0018e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8536e+00,1.2198e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8914e+02,5.9168e+02,6.0231e+02,6.0582e+02,6.0972e+02,6.1313e+02,6.1624e+02,6.1939e+02,6.1857e+02,6.2081e+02,6.1145e+02,6.1162e+02,1.5495e+07,6.7081e+06,2.2481e-04,0.0000e+00,4.5575e+02,1.3225e+03,0.0000e+00,4.3562e+03,1.2437e+04,1.4654e+00,0.0000e+00,0.0000e+00,2.9543e-01,0.0000e+00,0.0000e+00,0.0000e+00,5.3279e+03,0.0000e+00,0.0000e+00,5.3273e+03,5.3263e+03,6.1836e+02,6.0336e+02,6.1915e+02,5.7079e+02,3.0544e+02,3.0551e+02,3.0544e+02,3.8075e+02,5.5601e+02,5.5602e+02,5.5665e+02,5.5602e+02,5.5611e+02,3.8440e+02,5.5610e+02,5.5614e+02,5.5662e+02,5.5451e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.8611e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3220e+05,0.0000e+00,6.6974e+06,6.7315e+06,0.0000e+00,6.6993e+06,1.0000e+00,8.7772e-01,1.0000e+00,1.0000e+00,1.0000e+00
2.5002e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8546e+00,1.2197e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8915e+02,5.9169e+02,6.0232e+02,6.0583e+02,6.0973e+02,6.1313e+02,6.1625e+02,6.1940e+02,6.1857e+02,6.2082e+02,6.1145e+02,6.1162e+02,1.5497e+07,6.7096e+06,1.2530e-04,0.0000e+00,4.5572e+02,1.3223e+03,0.0000e+00,4.3562e+03,1.2437e+04,8.8706e-01,0.0000e+00,0.0000e+00,1.8201e-01,0.0000e+00,0.0000e+00,0.0000e+00,5.3254e+03,0.0000e+00,0.0000e+00,5.3259e+03,5.3260e+03,6.1838e+02,6.0337e+02,6.1916e+02,5.7079e+02,3.0544e+02,3.0553e+02,3.0544e+02,3.8073e+02,5.5603e+02,5.5604e+02,5.5668e+02,5.5601e+02,5.5613e+02,3.6638e+02,5.5611e+02,5.5616e+02,5.5663e+02,5.5453e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.8265e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3212e+05,0.0000e+00,6.6991e+06,6.7338e+06,0.0000e+00,6.7008e+06,1.0000e+00,8.9488e-01,1.0000e+00,1.0000e+00,1.0000e+00
3.0019e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8557e+00,1.2197e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8916e+02,5.9170e+02,6.0232e+02,6.0584e+02,6.0974e+02,6.1314e+02,6.1625e+02,6.1941e+02,6.1858e+02,6.2083e+02,6.1146e+02,6.1163e+02,1.5500e+07,6.7104e+06,1.4526e-04,0.0000e+00,4.5569e+02,1.3224e+03,0.0000e+00,4.3562e+03,1.2436e+04,5.7972e-01,0.0000e+00,0.0000e+00,1.1707e-01,0.0000e+00,0.0000e+00,0.0000e+00,5.3242e+03,0.0000e+00,0.0000e+00,5.3250e+03,5.3256e+03,6.1839e+02,6.0338e+02,6.1918e+02,5.7080e+02,3.0545e+02,3.0555e+02,3.0545e+02,3.8071e+02,5.5604e+02,5.5605e+02,5.5669e+02,5.5601e+02,5.5614e+02,3.5244e+02,5.5612e+02,5.5617e+02,5.5664e+02,5.5454e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.7916e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3203e+05,0.0000e+00,6.7000e+06,6.7351e+06,0.0000e+00,6.7016e+06,1.0000e+00,8.9943e-01,1.0000e+00,1.0000e+00,1.0000e+00
3.5003e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8566e+00,1.2198e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8917e+02,5.9171e+02,6.0233e+02,6.0584e+02,6.0974e+02,6.1315e+02,6.1626e+02,6.1941e+02,6.1859e+02,6.2084e+02,6.1147e+02,6.1164e+02,1.5503e+07,6.7106e+06,2.4581e-05,0.0000e+00,4.5569e+02,1.3228e+03,0.0000e+00,4.3562e+03,1.2436e+04,5.1004e-01,0.0000e+00,0.0000e+00,7.7978e-02,0.0000e+00,0.0000e+00,0.0000e+00,5.3238e+03,0.0000e+00,0.0000e+00,5.3248e+03,5.3256e+03,6.1841e+02,6.0339e+02,6.1919e+02,5.7081e+02,3.0545e+02,3.0556e+02,3.0545e+02,3.8069e+02,5.5604e+02,5.5605e+02,5.5670e+02,5.5600e+02,5.5615e+02,3.4198e+02,5.5612e+02,5.5617e+02,5.5664e+02,5.5454e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.7570e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3195e+05,0.0000e+00,6.7003e+06,6.7357e+06,0.0000e+00,6.7018e+06,1.0000e+00,9.0737e-01,1.0000e+00,1.0000e+00,1.0000e+00
4.0020e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8571e+00,1.2198e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8917e+02,5.9171e+02,6.0234e+02,6.0585e+02,6.0975e+02,6.1315e+02,6.1627e+02,6.1942e+02,6.1859e+02,6.2084e+02,6.1147e+02,6.1164e+02,1.5504e+07,6.7103e+06,3.8854e-05,0.0000e+00,4.5572e+02,1.3233e+03,0.0000e+00,4.3562e+03,1.2436e+04,4.2208e-01,0.0000e+00,0.0000e+00,5.3816e-02,0.0000e+00,0.0000e+00,0.0000e+00,5.3244e+03,0.0000e+00,0.0000e+00,5.3249e+03,5.3256e+03,6.1841e+02,6.0339e+02,6.1920e+02,5.7082e+02,3.0545e+02,3.0556e+02,3.0545e+02,3.8068e+02,5.5604e+02,5.5604e+02,5.5670e+02,5.5600e+02,5.5615e+02,3.3407e+02,5.5612e+02,5.5617e+02,5.5664e+02,5.5454e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.7221e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3186e+05,0.0000e+00,6.7004e+06,6.7360e+06,0.0000e+00,6.7015e+06,1.0000e+00,9.2297e-01,1.0000e+00,1.0000e+00,1.0000e+00
4.5004e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8572e+00,1.2199e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8917e+02,5.9171e+02,6.0234e+02,6.0585e+02,6.0975e+02,6.1315e+02,6.1627e+02,6.1942e+02,6.1860e+02,6.2084e+02,6.1147e+02,6.1164e+02,1.5504e+07,6.7097e+06,-1.7287e-05,0.0000e+00,4.5577e+02,1.3237e+03,0.0000e+00,4.3562e+03,1.2436e+04,3.3813e-01,0.0000e+00,0.0000e+00,3.8103e-02,0.0000e+00,0.0000e+00,0.0000e+00,5.3251e+03,0.0000e+00,0.0000e+00,5.3253e+03,5.3257e+03,6.1841e+02,6.0339e+02,6.1920e+02,5.7082e+02,3.0545e+02,3.0557e+02,3.0546e+02,3.8066e+02,5.5603e+02,5.5604e+02,5.5670e+02,5.5600e+02,5.5615e+02,3.2815e+02,5.5611e+02,5.5616e+02,5.5663e+02,5.5454e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.6875e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3178e+05,0.0000e+00,6.7001e+06,6.7359e+06,0.0000e+00,6.7009e+06,1.0000e+00,9.3716e-01,1.0000e+00,1.0000e+00,1.0000e+00
5.0021e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8569e+00,1.2199e+01,1.2201e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8917e+02,5.9171e+02,6.0233e+02,6.0585e+02,6.0975e+02,6.1315e+02,6.1627e+02,6.1942e+02,6.1859e+02,6.2084e+02,6.1147e+02,6.1164e+02,1.5503e+07,6.7091e+06,3.3730e-06,0.0000e+00,4.5582e+02,1.3242e+03,0.0000e+00,4.3562e+03,1.2436e+04,2.6980e-01,0.0000e+00,0.0000e+00,2.7753e-02,0.0000e+00,0.0000e+00,0.0000e+00,5.3257e+03,0.0000e+00,0.0000e+00,5.3257e+03,5.3258e+03,6.1841e+02,6.0339e+02,6.1919e+02,5.7081e+02,3.0545e+02,3.0557e+02,3.0546e+02,3.8064e+02,5.5602e+02,5.5603e+02,5.5670e+02,5.5600e+02,5.5614e+02,3.2360e+02,5.5610e+02,5.5616e+02,5.5663e+02,5.5453e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.6527e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3169e+05,0.0000e+00,6.6992e+06,6.7352e+06,0.0000e+00,6.7003e+06,1.0000e+00,9.4905e-01,1.0000e+00,1.0000e+00,1.0000e+00
5.5005e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8565e+00,1.2199e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8917e+02,5.9170e+02,6.0233e+02,6.0584e+02,6.0974e+02,6.1315e+02,6.1626e+02,6.1941e+02,6.1859e+02,6.2084e+02,6.1147e+02,6.1164e+02,1.5502e+07,6.7085e+06,2.1586e-05,0.0000e+00,4.5585e+02,1.3245e+03,0.0000e+00,4.3562e+03,1.2436e+04,2.1643e-01,0.0000e+00,0.0000e+00,2.0748e-02,0.0000e+00,0.0000e+00,0.0000e+00,5.3262e+03,0.0000e+00,0.0000e+00,5.3260e+03,5.3259e+03,6.1840e+02,6.0339e+02,6.1919e+02,5.7081e+02,3.0545e+02,3.0558e+02,3.0546e+02,3.8062e+02,5.5602e+02,5.5603e+02,5.5670e+02,5.5600e+02,5.5614e+02,3.2012e+02,5.5610e+02,5.5615e+02,5.5662e+02,5.5452e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.6181e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3161e+05,0.0000e+00,6.6994e+06,6.7355e+06,0.0000e+00,6.6997e+06,1.0000e+00,9.5866e-01,1.0000e+00,1.0000e+00,1.0000e+00
6.0022e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8560e+00,1.2198e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8916e+02,5.9170e+02,6.0233e+02,6.0584e+02,6.0974e+02,6.1314e+02,6.1626e+02,6.1941e+02,6.1859e+02,6.2083e+02,6.1146e+02,6.1163e+02,1.5500e+07,6.7081e+06,2.0409e-05,0.0000e+00,4.5587e+02,1.3247e+03,0.0000e+00,4.3562e+03,1.2436e+04,1.7409e-01,0.0000e+00,0.0000e+00,1.5735e-02,0.0000e+00,0.0000e+00,0.0000e+00,5.3265e+03,0.0000e+00,0.0000e+00,5.3261e+03,5.3259e+03,6.1839e+02,6.0338e+02,6.1918e+02,5.7080e+02,3.0546e+02,3.0558e+02,3.0546e+02,3.8060e+02,5.5602e+02,5.5602e+02,5.5670e+02,5.5600e+02,5.5614e+02,3.1739e+02,5.5609e+02,5.5615e+02,5.5662e+02,5.5452e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.5833e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3152e+05,0.0000e+00,6.6996e+06,6.7358e+06,0.0000e+00,6.6993e+06,1.0000e+00,9.6652e-01,1.0000e+00,1.0000e+00,1.0000e+00
6.5006e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8556e+00,1.2198e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8916e+02,5.9170e+02,6.0232e+02,6.0583e+02,6.0974e+02,6.1314e+02,6.1625e+02,6.1941e+02,6.1858e+02,6.2083e+02,6.1146e+02,6.1163e+02,1.5498e+07,6.7079e+06,3.2543e-05,0.0000e+00,4.5587e+02,1.3248e+03,0.0000e+00,4.3562e+03,1.2436e+04,1.4081e-01,0.0000e+00,0.0000e+00,1.2213e-02,0.0000e+00,0.0000e+00,0.0000e+00,5.3266e+03,0.0000e+00,0.0000e+00,5.3262e+03,5.3259e+03,6.1838e+02,6.0338e+02,6.1917e+02,5.7080e+02,3.0546e+02,3.0558e+02,3.0546e+02,3.8058e+02,5.5602e+02,5.5602e+02,5.5671e+02,5.5600e+02,5.5615e+02,3.1527e+02,5.5609e+02,5.5614e+02,5.5661e+02,5.5452e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.5488e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3144e+05,0.0000e+00,6.6999e+06,6.7362e+06,0.0000e+00,6.6991e+06,1.0000e+00,9.7283e-01,1.0000e+00,1.0000e+00,1.0000e+00
7.0023e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8554e+00,1.2198e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8916e+02,5.9169e+02,6.0232e+02,6.0583e+02,6.0973e+02,6.1314e+02,6.1625e+02,6.1940e+02,6.1858e+02,6.2082e+02,6.1146e+02,6.1163e+02,1.5497e+07,6.7079e+06,2.9483e-05,0.0000e+00,4.5585e+02,1.3248e+03,0.0000e+00,4.3562e+03,1.2436e+04,1.1412e-01,0.0000e+00,0.0000e+00,9.5628e-03,0.0000e+00,0.0000e+00,0.0000e+00,5.3265e+03,0.0000e+00,0.0000e+00,5.3262e+03,5.3259e+03,6.1838e+02,6.0338e+02,6.1916e+02,5.7080e+02,3.0546e+02,3.0558e+02,3.0546e+02,3.8056e+02,5.5602e+02,5.5602e+02,5.5671e+02,5.5600e+02,5.5615e+02,3.1357e+02,5.5609e+02,5.5614e+02,5.5661e+02,5.5451e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.5141e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3135e+05,0.0000e+00,6.7003e+06,6.7366e+06,0.0000e+00,6.6991e+06,1.0000e+00,9.7798e-01,1.0000e+00,1.0000e+00,1.0000e+00
7.5007e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8553e+00,1.2197e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8915e+02,5.9169e+02,6.0232e+02,6.0583e+02,6.0973e+02,6.1314e+02,6.1625e+02,6.1940e+02,6.1858e+02,6.2082e+02,6.1146e+02,6.1163e+02,1.5497e+07,6.7081e+06,2.6722e-05,0.0000e+00,4.5582e+02,1.3248e+03,0.0000e+00,4.3562e+03,1.2436e+04,9.2869e-02,0.0000e+00,0.0000e+00,7.5979e-03,0.0000e+00,0.0000e+00,0.0000e+00,5.3263e+03,0.0000e+00,0.0000e+00,5.3261e+03,5.3259e+03,6.1838e+02,6.0337e+02,6.1916e+02,5.7080e+02,3.0546e+02,3.0558e+02,3.0546e+02,3.8054e+02,5.5602e+02,5.5602e+02,5.5672e+02,5.5599e+02,5.5616e+02,3.1223e+02,5.5609e+02,5.5614e+02,5.5662e+02,5.5451e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.4796e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3127e+05,0.0000e+00,6.7006e+06,6.7371e+06,0.0000e+00,6.6992e+06,1.0000e+00,9.8211e-01,1.0000e+00,1.0000e+00,1.0000e+00
8.0024e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8554e+00,1.2197e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8915e+02,5.9169e+02,6.0232e+02,6.0583e+02,6.0973e+02,6.1314e+02,6.1625e+02,6.1940e+02,6.1858e+02,6.2082e+02,6.1146e+02,6.1163e+02,1.5497e+07,6.7082e+06,2.4215e-05,0.0000e+00,4.5579e+02,1.3247e+03,0.0000e+00,4.3562e+03,1.2436e+04,7.5637e-02,0.0000e+00,0.0000e+00,6.0969e-03,0.0000e+00,0.0000e+00,0.0000e+00,5.3261e+03,0.0000e+00,0.0000e+00,5.3260e+03,5.3259e+03,6.1838e+02,6.0337e+02,6.1916e+02,5.7080e+02,3.0546e+02,3.0558e+02,3.0546e+02,3.8052e+02,5.5602e+02,5.5602e+02,5.5672e+02,5.5599e+02,5.5616e+02,3.1114e+02,5.5610e+02,5.5615e+02,5.5662e+02,5.5452e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.4448e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3118e+05,0.0000e+00,6.7010e+06,6.7374e+06,0.0000e+00,6.6994e+06,1.0000e+00,9.8546e-01,1.0000e+00,1.0000e+00,1.0000e+00
8.5008e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8556e+00,1.2197e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8916e+02,5.9169e+02,6.0232e+02,6.0583e+02,6.0973e+02,6.1314e+02,6.1625e+02,6.1940e+02,6.1858e+02,6.2082e+02,6.1146e+02,6.1163e+02,1.5497e+07,6.7084e+06,1.9969e-05,0.0000e+00,4.5577e+02,1.3246e+03,0.0000e+00,4.3562e+03,1.2436e+04,6.1808e-02,0.0000e+00,0.0000e+00,4.9416e-03,0.0000e+00,0.0000e+00,0.0000e+00,5.3260e+03,0.0000e+00,0.0000e+00,5.3259e+03,5.3259e+03,6.1838e+02,6.0337e+02,6.1916e+02,5.7080e+02,3.0546e+02,3.0558e+02,3.0547e+02,3.8051e+02,5.5603e+02,5.5603e+02,5.5672e+02,5.5599e+02,5.5616e+02,3.1026e+02,5.5610e+02,5.5615e+02,5.5662e+02,5.5452e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.4104e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3110e+05,0.0000e+00,6.7013e+06,6.7378e+06,0.0000e+00,6.6996e+06,1.0000e+00,9.8815e-01,1.0000e+00,1.0000e+00,1.0000e+00
9.0026e+01,4.0766e+00,3.8194e+00,5.5374e+00,8.8559e+00,1.2197e+01,1.2200e+01,3.2500e+09,0.0000e+00,1.2451e+02,1.2451e+02,5.8916e+02,5.9170e+02,6.0232e+02,6.0583e+02,6.0973e+02,6.1314e+02,6.1625e+02,6.1940e+02,6.1858e+02,6.2083e+02,6.1146e+02,6.1163e+02,1.5498e+07,6.7086e+06,1.4480e-05,0.0000e+00,4.5575e+02,1.3246e+03,0.0000e+00,4.3562e+03,1.2436e+04,5.0527e-02,0.0000e+00,0.0000e+00,4.0270e-03,0.0000e+00,0.0000e+00,0.0000e+00,5.3259e+03,0.0000e+00,0.0000e+00,5.3259e+03,5.3259e+03,6.1838e+02,6.0338e+02,6.1916e+02,5.7080e+02,3.0546e+02,3.0557e+02,3.0547e+02,3.8049e+02,5.5603e+02,5.5603e+02,5.5673e+02,5.5599e+02,5.5617e+02,3.0954e+02,5.5610e+02,5.5615e+02,5.5662e+02,5.5452e+02,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,9.3757e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3102e+05,0.0000e+00,6.7015e+06,6.7380e+06,0.0000e+00,6.6998e+06,1.0000e+00,9.9034e-01,1.0000e+00,1.0000e+00,1.0000e+00
